Brand,Price,Rating,Link
Refurbished Lenovo Thinkpad T440 Laptop intel Core i5 4th Gen 8GB Ram 500GB HDD Rom 14''Screen HD Display Refurbished Laptop Computer Notebook / Computer 5.0,16995,(0),https://www.kilimall.co.ke//listing/1000284961-refurbished-lenovo-thinkpad-t440-laptop-intel-core-i5-4th-gen-8gb-ram-500gb-hdd-rom-14screen-hd-display-refurbished-laptop-computer-notebook-computer-50?skuId=10000976420
Lenovo Type C Charger Adapter 65W For Laptop,2800,(0),https://www.kilimall.co.ke//listing/1000353630-lenovo-type-c-charger-adapter-65w-for-laptop?skuId=10001253113
"Lenovo ThinkPad Yoga 370 X360 Core I7 7th Gen 8GB RAM 256GB SSD 14"" FHD Touchscreen 2-in-1 Convertible Refurbished Laptop + Stylus",40999,(0),https://www.kilimall.co.ke//listing/1000371546-lenovo-thinkpad-yoga-370-x360-core-i7-7th-gen-8gb-ram-256gb-ssd-14-fhd-touchscreen-2in1-convertible-refurbished-laptop-stylus?skuId=10001370239
"Lenovo ThinkCenter 10B1 Desktop +17"" Screen 8GB+500GB Fullset Computer Refurbished lenovo Computer Windows 11",15999,(0),https://www.kilimall.co.ke//listing/1000340449-lenovo-thinkcenter-10b1-desktop-17-screen-8gb500gb-fullset-computer-refurbished-lenovo-computer-windows-11?skuId=10001182951
Lenovo HF130 3.5mm Earphones Bass Sound Wired Earphone In-Ear Sport Noise Canceling Earphones with mic for iPhone Samsung Headset fone de ouvido auriculares MP3,299,(9),https://www.kilimall.co.ke//listing/2752153-lenovo-hf130-35mm-earphones-bass-sound-wired-earphone-inear-sport-noise-canceling-earphones-with-mic-for-iphone-samsung-headset-fone-de-ouvido-auriculares-mp3?skuId=19124185
Lenovo Thinkplus 128GB MU241 USB3.0 High-Speed U Disk Rotatable USB Flash Drives,699,(78),https://www.kilimall.co.ke//listing/2867896-lenovo-thinkplus-128gb-mu241-usb30-highspeed-u-disk-rotatable-usb-flash-drives?skuId=19455142
"Lenovo Laptop Charger USB 20V, 3.25A 65W Complete With Power Cable",1197,(15),https://www.kilimall.co.ke//listing/3005117-lenovo-laptop-charger-usb-20v-325a-65w-complete-with-power-cable?skuId=19827979
"Lenovo ThinkPad L380 Yoga x360 Core I5 8th generation Quad core, 8GB RAM 256GB SSD 13.3 Inches FHD Touchscreen with a stylus Pen 2 in 1 Refurbished Laptop",29999,(0),https://www.kilimall.co.ke//listing/1000392715-lenovo-thinkpad-l380-yoga-x360-core-i5-8th-generation-quad-core-8gb-ram-256gb-ssd-133-inches-fhd-touchscreen-with-a-stylus-pen-2-in-1-refurbished-laptop?skuId=10001488028
Brand NEW Lenovo Ideapad 1 | Celeron N4020 | 8GB RAM | 256GB SSD | 14'' Inch HD display School & Business Laptop Computer | Notebook | Windows 10 New Laptops Lenovo Laptop Computers,31999,(41),https://www.kilimall.co.ke//listing/2211486-brand-new-lenovo-ideapad-1-celeron-n4020-8gb-ram-256gb-ssd-14-inch-hd-display-school-business-laptop-computer-notebook-windows-10-new-laptops-lenovo-laptop-computers?skuId=16683820
LENOVO CORE I5 2ND  GENERATION 4GB RAM 500GB HDD,7500,(0),https://www.kilimall.co.ke//listing/1000323412-lenovo-core-i5-2nd-generation-4gb-ram-500gb-hdd?skuId=10001119240
"(Free Mouse)Refurbished Laptop Lenovo Thinkpad T440P Core i5 6th 8GB+500GB+14"" Windows 11 14"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty laptops",18999,(4),https://www.kilimall.co.ke//listing/1000336639-free-mouserefurbished-laptop-lenovo-thinkpad-t440p-core-i5-6th-8gb500gb14-windows-11-14-fhd-display-bluetooth-webcam-wifi-intel-graphics-6-months-warranty-laptops?skuId=10001170029
Lenovo thinkplus flash disks Memory Stick pendrive Data Storage Thumb Drive 32GB/64GB USB flash drive flashdisks,549,(57),https://www.kilimall.co.ke//listing/2675743-lenovo-thinkplus-flash-disks-memory-stick-pendrive-data-storage-thumb-drive-32gb64gb-usb-flash-drive-flashdisks?skuId=18861668
Brand New  Lenovo Ideapad 1 | Intel Corei3-1215U 8GB 512SSD Storage14''inch HD Screen Display New School Business Cyber Laptop Computer NOTEBOOK,46999,(1),https://www.kilimall.co.ke//listing/2436948-brand-new-lenovo-ideapad-1-intel-corei31215u-8gb-512ssd-storage14inch-hd-screen-display-new-school-business-cyber-laptop-computer-notebook?skuId=17906442
"Lenovo XT6 Universal Laptop Stand - Adjustable, Foldable, Aluminum Alloy, Supports up to 20KG - Silver  Black",999,(6),https://www.kilimall.co.ke//listing/2888948-lenovo-xt6-universal-laptop-stand-adjustable-foldable-aluminum-alloy-supports-up-to-20kg-silver-black?skuId=19511307
( With Sylus Pen ) Touchscreen Refurbished Lenovo Thinkpad Yoga 11E X360 2 IN 1 Laptop Intel Celeron 8GB Ram 128GB SSD 11.6''inch Refurbished Laptop Computer Notebook,14549,(0),https://www.kilimall.co.ke//listing/1000356189-with-sylus-pen-touchscreen-refurbished-lenovo-thinkpad-yoga-11e-x360-2-in-1-laptop-intel-celeron-8gb-ram-128gb-ssd-116inch-refurbished-laptop-computer-notebook?skuId=10001263361
Original Lenovo Thinkplus LP1S Earpods Bluetooth Earphones TWS Wireless Earphones Bluetooth 5.0 Waterproof Sport Earphones Noise Reduction Earbuds with Mic,1399,(65),https://www.kilimall.co.ke//listing/2685829-original-lenovo-thinkplus-lp1s-earpods-bluetooth-earphones-tws-wireless-earphones-bluetooth-50-waterproof-sport-earphones-noise-reduction-earbuds-with-mic?skuId=18903516
"Touchscreen Refurbished LENOVO YOGA 11E 4GB RAM 128GB SSD REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO",11499,(4),https://www.kilimall.co.ke//listing/1000344507-touchscreen-refurbished-lenovo-yoga-11e-4gb-ram-128gb-ssd-refurbished-laptop-black-12-inch-installed-windows-10-pro?skuId=10001201705
(4GB + 320GB HDD) Refurbished Lenovo Thinkpad Yoga 11e Celeron 4GB RAM + 320GB HDD Storage Laptop Windows Installed Non-touchscreen Laptops Notebook Computer,11299,(2),https://www.kilimall.co.ke//listing/1000409254-4gb-320gb-hdd-refurbished-lenovo-thinkpad-yoga-11e-celeron-4gb-ram-320gb-hdd-storage-laptop-windows-installed-nontouchscreen-laptops-notebook-computer?skuId=10001547266
Lenovo ThinkPlus Hubs USB Expander Multi-interface Converter Plug Multi-port Typec Expansion Dock Hubs Splitter Expansion Dock,599,(19),https://www.kilimall.co.ke//listing/2856697-lenovo-thinkplus-hubs-usb-expander-multiinterface-converter-plug-multiport-typec-expansion-dock-hubs-splitter-expansion-dock?skuId=19426253
"(SPECIAL OFFER) TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360",10999,(5),https://www.kilimall.co.ke//listing/2987440-special-offer-touchscreen-refurbished-lenovo-thinkpad-yoga-11e-4gb-ram-128gb-ssd-celeron-2-in-1-laptop-5th-generation-x360?skuId=19774310
